cell_id	pos	x	y	z
3	2	85122.0008462571	29207.2280651614	7204.39286021129
3	3	85185.834008637	29264.6021600558	7186.98170594605
3	4	85167.2172514861	29167.7459817332	7210.82670186975
3	6	85128.6682789882	29190.2331960843	7301.86007186804
3	7	84830.6564544347	29104.2323466284	6975.16482507714
3	8	84857.3537729494	29071.176004925	7001.88126867786
3	9	84810.4083628155	29106.062262398	7026.87868451594
3	11	84458.0341631257	29236.5763416529	6869.80000437232
3	12	84439.8879395571	29373.1303498188	6797.95168520408
3	13	85362.2608951291	28726.3838512743	6948.68299818185
3	14	84739.3512319206	29176.3336083196	7112.36695234516
3	18	85268.0500555903	28611.5519073144	6966.81155218335
3	19	84913.7969520296	29419.2746043164	6642.56302737352
3	21	84857.1729182959	29111.6307936378	7109.54615406476
3	22	84897.7751883547	29076.3115354699	7154.90968514383
3	25	85190.7152484209	29012.8434107033	7070.27587806881
3	30	84834.0527114007	29177.9880176631	6932.85479008503
3	31	85119.3555249342	28676.4409945687	7093.88329820836
3	32	85128.5883483018	29123.9282715782	7382.20656520547
3	33	85159.0961883855	29176.1072119884	7354.2857877395
3	36	85014.6108103597	28764.7534167744	7092.79967427156
3	39	84685.8915286734	29171.4671605065	7029.08432563467
3	40	84676.1342298915	29133.3777305786	6908.92774934671
3	41	84841.7931734563	29197.1497008105	6871.0694301611
4	1	71215.9035497519	29573.7036719767	5424.13945279542
4	2	71174.2086363508	29500.71488615	5567.73417548923
4	7	71153.3880755176	28986.8922392494	5580.53819137691
4	8	71123.3849943448	29005.0112643274	5726.91576627874
4	9	71087.1464950238	28842.0031750713	5753.08105815324
4	10	71184.0034144447	29078.7346662481	5754.62225867313
4	11	71344.0885154679	29131.9028400553	5385.21472271033
4	15	71199.0942977419	28901.2532258665	5851.97199828357
4	16	71251.8768791933	28877.2461459594	5658.85731873521
4	18	71158.7845903789	28806.3609031033	6016.82886659557
4	19	71135.7924699536	28904.3834398836	6023.38381493482
4	21	71488.5116546134	29174.2875410854	5398.88336452807
4	22	71090.0604744041	28933.8446476369	6133.56788695791
4	23	71119.4261872358	28903.8333949595	6120.85724361389
4	26	71253.8044122843	29305.6553161277	6152.40601654584
4	27	71489.913974827	29215.5711613252	5536.08301238979
4	28	71259.731067898	29120.859193253	6237.78520809197
4	29	71330.5438478144	29101.4344804021	5797.28060918596
4	30	71378.5874397059	29157.4594178402	5575.66491737522
4	31	71230.2346034883	29568.6685853279	5753.48187605979
4	32	71261.2511349241	29629.4718701586	5727.47990096514
4	33	71343.7497005529	28950.5091398558	5525.43163774371
4	34	71313.3843196077	29113.3415761176	5924.25894187798
4	35	71270.755682745	29115.6235181581	5954.77407209707
4	36	71272.5450911253	29126.8405290087	5735.31052499696
4	37	71141.0493546119	29018.5293228064	5193.35887950947
4	38	71272.8113626126	29145.5143698171	5823.11671122066
4	39	71114.3032959609	29033.640371351	5938.80795576577
4	41	71434.4437200458	29031.0673668891	5313.78037591702
5	2	101165.523647526	29958.8602167316	4237.46136040348
5	4	101205.457952901	29984.9153745363	4648.52619713735
5	5	101174.157373823	30033.1453485267	4564.43531211461
5	6	101158.653484458	29859.9227350879	4379.73929645999
5	8	101271.919044447	30132.7213609034	4567.77146673906
5	9	101240.188123074	30122.1798029672	4533.61145621484
5	10	100943.667185674	29754.0836308442	4295.00977929379
5	11	100951.897218137	30186.6683716422	4388.53781218394
5	12	100970.60288791	30236.6414211292	4326.95500641046
